flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group
249,EWX,TFX,2022-09-20,Delayed,Delayed,Atlantic,less spicy food would be preferable.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member
5128,PRX,DEX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,A small quality snack was very appreciated.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member
396,RSX,EWX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,"I tried for 4 days to make a food selection online. The entire time I was only given one option: A mediterranean dish I knew would be too spicy for me and I would be unable to eat it. I once saw a meatball option but it was unselectable. Why does United insist on serving such spicy food?. I took one bite and then had to drink a glass of water and not able to eat the entree. Why was I unable to see and select the second entree when trying to order 4 days ahead of flight?. Flight attendant said both options should have been available the entire time to order. In addition, my choice issue was due to United changing my flight several months ahead an not only not notifying me, but assigning me a seat in the last row when I had booked 2B 6 months earlier.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-700,Mainline,member
1777,PIX,ORX,2022-09-21,Delayed,Early & Ontime,Domestic,"There was a very small amount of turbulence so no food. beverage was provided. On the return trip from Chicago to Pittsburgh, I was given a half a glass of room temperature water, no ice, no snack.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
511,EWX,FCX,2022-09-21,Delayed,Delayed,Atlantic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member
4716,DEX,BHX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,"Not back to the hot meals of yesterday, but it is getting better. I like the utensils and cloth napkins again.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,ERJ-175,Express,member
41,EWX,FCX,2022-09-21,Delayed,Delayed,Atlantic,Ignored my requests for drink.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member
1404,IAX,PNX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,"As,earlier, limited ice, not all meals,were provided to plane.... no snax.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member
2460,SMX,DEX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,Our breakfast eggs were not warm.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,A320-200,Mainline,member
1744,IAX,CVX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,"I was surprised that it took so long to receive beverages. A flight attendant passed out pretzels pretty quickly, but then the drinks came nearly a half hour later as they started with the cart in the front of the plane and very slowly worked back.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
588,PSX,DEX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,Wish a better selection of sodas such as offering Dr. Pepper Zero or diet Dr. Pepper. when flying out of Huntsville last year. Diet Dr. Peppers were offered.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
690,IAX,MCX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,I did not have any food or beverages on this flight.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2146,ORX,PWX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,Crowded seating.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
2493,SEX,IAX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,no wine or champagne offered at all.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
931,SFX,LHX,2022-09-22,Early & Ontime,Early & Ontime,Atlantic,White wine was awful.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B787-9,Mainline,member
915,CDX,IAX,2022-09-22,Delayed,Delayed,Atlantic,It is been a long time since United had my GF meal on the flight. The food was pretty good. I was happy to not be starving!. Thanks for bringing back specialty meals.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
915,CDX,IAX,2022-09-22,Delayed,Delayed,Atlantic,"We had a chicken meal on our flight to Europe, that was horrible-,this one was MUCH better.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
952,BRX,IAX,2022-09-22,Early & Ontime,Early & Ontime,Atlantic,On the way out they had the usual United sundaes which are a major benefit of traveling United. On the way back I asked for the ice cream and got a teeny tiny little tub of ice cream. It was nice but about a fifth the size of a sundae.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member
85,EWX,TLX,2022-09-23,Delayed,Early & Ontime,Atlantic,The free wine is a nice idea. the wine was bad.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
85,EWX,TLX,2022-09-23,Delayed,Early & Ontime,Atlantic,Imentioned in the past the meals need improvement but could not point myfingers on something special. Allow me to offer you to take a look at Turkish Airlines menue. It appears (to me) to be an example to be taken from.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B787-10,Mainline,member
1419,DEX,MIX,2022-09-23,Delayed,Delayed,Domestic,Maybe some healthier options for those of us who do not drink soda.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member
1176,SFX,HNX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,Same menu for months on end.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-300,Mainline,member
1176,SFX,HNX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member
3497,EYX,EWX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member
360,ORX,MEX,2022-09-23,Early & Ontime,Early & Ontime,Latin,The water is good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
1521,MCX,DEX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,We flew first class. The food offering was very limiting. The chicken was dried out.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member
3448,IAX,JAX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,no snack served and had to ask for the whole can. On my previous flight it was automatically given.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
5183,DEX,EAX,2022-09-22,Early & Ontime,Early & Ontime,Domestic,"It is a short flight no snacks were offered. From Portland to Denver no snacks offered, in the past there has been a snack offered.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member
4336,IAX,BUX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,My flight down to DC had none and that seemed to becoming a norm for this flight. This flight attendant did an excellent job as he brought the snack choice thru and then water. Much appreciated!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,ERJ-145,Express,member
455,LAX,OGX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,We are accustomed to the lack of food on flights.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
415,BOX,DEX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,There is not much choice for snacks. often out of food for people who have a short lay-over. Only one diet drink.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member
1837,SEX,SFX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,The waffle cookies tasted great.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
149,GRX,EWX,2022-09-24,Early & Ontime,Early & Ontime,Latin,The portions are too small.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-200,Mainline,member
498,DEX,BOX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,No complimentary snacks were provided.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
498,DEX,BOX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,No food snacks were provided.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
1884,IAX,LAX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,I was surprised and pleased to be able to use United Miles to pay for the glass of wine. It is extremely difficult to use miles for travel. And the amount required continues to go up. Buying food is great. I did not know about that until this flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-200,Mainline,member
2170,ORX,SFX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,"I had trouble adding my credit card into into the app, so could not purchase snacks on board. Also, would be nice to have a snack option with some protein, like almonds.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member
2244,SAX,IAX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
3502,ORX,PVX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,No Tito's vodka and took a long time to get it as soda water was not available in front of plane.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member
2620,MCX,IAX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,No.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member
6079,ABX,IAX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,"Snacks offered are definitely not of adequate variety, quality, or quantity for one hour, thirty minute flight. Did not expect a meal, but a small bag of pretzels or waffle is inadequate.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,ERJ-175,Express,member
6375,IAX,DCX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,Overall good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
270,BOX,EWX,2022-09-25,Early & Ontime,Early & Ontime,Latin,I think the preorder idea is good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-700,Mainline,member
18,LHX,EWX,2022-09-25,Early & Ontime,Early & Ontime,Atlantic,Meal before deplaning was nice and the right size.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B767-300,Mainline,member
365,BDX,DEX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,"Cheese plate offered only three small pieces of cheddar, all tasteless and came in a most unattractive and difficult to open plastic package. The breakfast would have been better without it. Except that Corn Flakes taste like styrofoam.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
3410,BTX,EWX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
1817,DEX,CLX,2022-09-26,Delayed,Delayed,Domestic,Snacks could be more varied. Cookies and pretzels. Gluten free options would be nice too.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member
498,DEX,BOX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,Wish we still had a small bag of pretzels or something to go with the drink.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
392,PDX,IAX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2643,ORX,EWX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,"Again, there is a lack of gluten free snack/food options.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member
1773,EWX,MYX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,No.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
1195,ORX,SEX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,It would have been nice to have a savory choice instead of two types of sweets.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member
4773,PSX,DEX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,No choice as to snack. And the snacks are way too small.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member
1231,YVX,SFX,2022-09-27,Delayed,Delayed,Domestic,I was given a small glass of soft drink with an abundance of ice leaving little room for beverage. I was nor offered the entire can of soda.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1231,YVX,SFX,2022-09-27,Delayed,Delayed,Domestic,I asked for the snack with my coffee and a flight attendant made an extra effort to go get it.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
1231,YVX,SFX,2022-09-27,Delayed,Delayed,Domestic,Got nothing but pretzel and coke nothing else was offered.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
1238,SFX,SEX,2022-09-27,Delayed,Early & Ontime,Domestic,Dinner in first class should be better.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A319-100,Mainline,member
1729,SFX,CLX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,no.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
4437,EWX,ALX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,Fake meatballs and an indian dish can not be what your business customers are asking for!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,CRJ-550,Express,member
669,SJX,IAX,2022-09-27,Early & Ontime,Delayed,Latin,Its getting better.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member
978,SNX,EWX,2022-09-27,Delayed,Delayed,Atlantic,The entree was not good at all. Snacks were OK. The pretzels tasted a bit old.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B757-200,Mainline,non-member
944,LIX,IAX,2022-09-27,Early & Ontime,Early & Ontime,Atlantic,Quality not up to before that of pandemic.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B757-200,Mainline,member
941,EWX,LHX,2022-09-27,Early & Ontime,Early & Ontime,Atlantic,I asked to have a brandy after dinner drink the person was not a real stewardess I think she was training no idea she came back k and very rudely said no brandy and kept walking. I would have paid for one ad I really enjoyed my meal and wanted to finish it eith a brandy. Also no duty free came around.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-300,Mainline,member
2087,IAX,LAX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,My meal and wine service was fantastic. My spouse had the chicken rice dish which was very dry.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member
565,DEX,EWX,2022-09-28,Delayed,Early & Ontime,Domestic,"I would leave off the salt & pepper, add 2 cherry tomatoes and slice the cheese to fit on the crackers. The fig spread was nice.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member
3772,ORX,MKX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member
1558,TPX,ORX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A320-200,Mainline,member
5243,COX,DEX,2022-09-27,Delayed,Early & Ontime,Domestic,Food needs to be upgraded.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,ERJ-175,Express,member
1059,CUX,IAX,2022-09-28,Early & Ontime,Early & Ontime,Latin,I did not order any other food. Short flight.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2405,EWX,SDX,2022-09-28,Early & Ontime,Delayed,Latin,Mimosa's were fantastic.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
6105,MTX,IAX,2022-09-28,Early & Ontime,Early & Ontime,Latin,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
745,DEX,SBX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,"If you say you want a drink, you get a drink, but no one asks if you also want a snack;. they are gone and that is it. No big deal, but the attendants should ask both questions.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
3825,TUX,ORX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,"Yes, when I flew from Chicago to Tulsa I asked the flight attendant for a bag of pretzels, she told me that the flight was to short and that there were no snacks on the flight. You have to remember we had just spent 2 hours waiting for the crew...",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member
1258,EWX,SFX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,"There was a small confusion re my special meal order, but the flight attendants fix this in a great way. I am glad there was a vegetarian option available!.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
987,CDX,ORX,2022-09-28,Early & Ontime,Early & Ontime,Atlantic,they did not have the glenfargas whiskey that is standard on all UA flights;. also the wine selection is poor.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B787-9,Mainline,member
987,CDX,ORX,2022-09-28,Early & Ontime,Early & Ontime,Atlantic,They ran out of diet coke.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
1878,IAX,LAX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,It could be better.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
1839,MEX,IAX,2022-09-28,Early & Ontime,Delayed,Latin,Varieyty of snacks.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A319-100,Mainline,member
1472,EWX,SDX,2022-09-27,Early & Ontime,Early & Ontime,Latin,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
770,BDX,ORX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,Ease of use when credit card tied to app. And flight attendant very pleasant and acommodating.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
1840,DEX,MSX,2022-09-29,Early & Ontime,Early & Ontime,Domestic,I miss the nuts or pretzels.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
2627,SFX,IAX,2022-09-29,Delayed,Delayed,Domestic,YOU COULD GIVE MORE THAN ONE TINY BAG OF PRETZELS.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member
203,ORX,OGX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,wine selection needs to be increased.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member
203,ORX,OGX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,"I pre-ordered a snack n I had to request it from the flight attendants. In Alaska airlines, I pre-order n the flight attendants delivers it to me once we are in the air. Some of the liquor I wanted to pre-order were not available.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member
385,DEX,HNX,2022-09-30,Early & Ontime,Delayed,Domestic,Loved everything but the dessert.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member
469,LAX,EWX,2022-09-29,Early & Ontime,Early & Ontime,Domestic,I would love to but though the app….,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1883,TPX,SFX,2022-09-30,Delayed,Delayed,Domestic,I recognize that Hurricane Ian prevented any meals or snack boxes from being served on this long flight. The communications that the airline provided PRIOR to this flight to suggest people get food at the airport was thoughtful and well received.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-MAX9,Mainline,member
2377,LAX,DEX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,I wish the dinner/lunch options were as good/tasty as the breakfast!. I can not stand the impossible meatballs/chicken dish.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member
2615,LAX,EWX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,There were a few passengers with tight connections. The delay in the gate operator caused anxieties amongst the passengers. The flight attendants could have requested other passengers to allow those catching another flight to ng o first. I feel the attendants were indifferent. I was extremely disappointed.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
80,EWX,NRX,2022-09-30,Early & Ontime,Early & Ontime,Pacific,The desert was Sorbet. It was served to us at the same time as the meal. So it was all melted once I got to eat it. There was no desert options. One of the main dish was chicken on quinoa. every time I have quinoa on a plane (regardless of the company) it is alway super dry.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member
871,SYX,SFX,2022-09-01,Early & Ontime,Delayed,Pacific,I suspect the same meal options were served in all classes. I expected to have more options. Need to be able to pre order meals.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member
1876,FLX,EWX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Wine service was outstanding!!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member
464,PUX,EWX,2022-09-02,Early & Ontime,Early & Ontime,Latin,really not good what the airlines give to the passengers but this is the reality.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
5286,CLX,ORX,2022-09-02,Early & Ontime,Delayed,Domestic,i do not have a smart phone so i can not down load an app to purchase any products.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
755,LAX,EWX,2022-09-02,Early & Ontime,Delayed,Domestic,Do not think I should pay for a meal on a 5 hour flight that was also an expensive flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1041,EWX,AUX,2022-09-03,Delayed,Early & Ontime,Latin,Please serveva breakfast sandwich.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
1041,EWX,AUX,2022-09-03,Delayed,Early & Ontime,Latin,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2261,MCX,DEX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,Perhaps a healthy cho.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member
18,LHX,EWX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,"The variety of wines seemed ok, but I had to ask to be served several times to get a glass of wine.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B767-300,Mainline,member
188,JNX,EWX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,"It seems to be a theme on these overnight flights that after the first service, the flight attendants disappear from Economy for hours. While I do not think it is necessary to push a cart around, these long flights need more water or liquids for the pax. At the very least, each hour a flight attendant could walk through the cabin and provide an opportunity for pax requests.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B787-9,Mainline,member
188,JNX,EWX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,The dinner portion was too small 4-5 small pieces of chicken is hardly called as a dinner meal for 2067$ flight. I carried my own meal and carried plenty of snacks for the crew who loved my snacks. Most people I know fly Emirates and such airline as the meals on board are actually appetizing. United could consider to make the meal more appetizing a tiny salad and small meal does not attract the passengers. It is taking passengers away from UNITED. They fly as there is no choice. Make UNITED an airline of choice not otherwise.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B787-9,Mainline,member
1540,NAX,EWX,2022-09-03,Early & Ontime,Early & Ontime,Latin,Chicken was spicy only other selection was a plant based meatball. Maybe something plainer like a burger.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
1998,AUX,EWX,2022-09-03,Early & Ontime,Delayed,Latin,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member
1998,AUX,EWX,2022-09-03,Early & Ontime,Delayed,Latin,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2363,LAX,ORX,2022-09-03,Delayed,Early & Ontime,Domestic,Brioche Burger was ok for airline food. I was so hungry I would have eaten anything. I was just so happy they had the option.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-300,Mainline,member
2650,PWX,ORX,2022-09-03,Delayed,Early & Ontime,Domestic,I loved the desert question…I forgot how good it was!!!!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
3538,EWX,BTX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,None provided only San Fransico to Newark.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member
395,DEX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,I wish there were healthier options with less sugar.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member
5200,DDX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,N/A no service.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,CRJ-200,Express,member
